driver_id,as_of_month,prob_3m,y_true_3m
DRV00002,2024-09-01,0.99737346,1
DRV00004,2024-09-01,0.99676895,1
DRV00036,2024-09-01,0.9942673,1
DRV00118,2024-09-01,0.98428345,1
DRV00043,2024-09-01,0.9837964,1
DRV00138,2024-09-01,0.9617099,1
DRV00130,2024-09-01,0.578759,0
DRV00088,2024-09-01,0.44807607,0
DRV00097,2024-09-01,0.4342451,0
DRV00133,2024-09-01,0.38690335,0
DRV00038,2024-09-01,0.37779865,0
DRV00095,2024-09-01,0.32092178,1
DRV00010,2024-09-01,0.31713384,0
DRV00041,2024-09-01,0.25804672,0
DRV00057,2024-09-01,0.22778401,0
DRV00015,2024-09-01,0.20123526,0
DRV00014,2024-09-01,0.20025851,0
DRV00101,2024-09-01,0.19406725,0
DRV00075,2024-09-01,0.1910366,0
DRV00143,2024-09-01,0.18026027,0
DRV00050,2024-09-01,0.17766637,0
DRV00062,2024-09-01,0.16270612,0
DRV00054,2024-09-01,0.15195784,0
DRV00114,2024-09-01,0.1287409,0
DRV00012,2024-09-01,0.113761485,0
DRV00082,2024-09-01,0.11196422,0
DRV00013,2024-09-01,0.10166981,0
DRV00009,2024-09-01,0.100885175,0
DRV00094,2024-09-01,0.100837395,0
DRV00080,2024-09-01,0.093887866,0
DRV00017,2024-09-01,0.08851164,0
DRV00139,2024-09-01,0.08574761,0
DRV00016,2024-09-01,0.08241173,0
DRV00119,2024-09-01,0.08119294,1
DRV00066,2024-09-01,0.08070691,0
DRV00055,2024-09-01,0.08029341,0
DRV00108,2024-09-01,0.07380624,0
DRV00053,2024-09-01,0.070563614,0
DRV00024,2024-09-01,0.07048405,0
DRV00059,2024-09-01,0.06251558,0
DRV00102,2024-09-01,0.061537385,1
DRV00011,2024-09-01,0.060746152,0
DRV00064,2024-09-01,0.05894987,0
DRV00051,2024-09-01,0.05339428,0
DRV00127,2024-09-01,0.052759077,1
DRV00129,2024-09-01,0.048068684,0
DRV00104,2024-09-01,0.047463942,0
DRV00145,2024-09-01,0.04282336,0
DRV00056,2024-09-01,0.04159926,0
DRV00110,2024-09-01,0.04016708,0
DRV00121,2024-09-01,0.039593086,0
DRV00092,2024-09-01,0.03930598,0
DRV00107,2024-09-01,0.039250415,0
DRV00045,2024-09-01,0.038702972,0
DRV00147,2024-09-01,0.036675137,1
DRV00060,2024-09-01,0.034887526,0
DRV00032,2024-09-01,0.033152126,0
DRV00150,2024-09-01,0.031904466,0
DRV00034,2024-09-01,0.029408775,0
DRV00084,2024-09-01,0.02926445,0
DRV00144,2024-09-01,0.028966578,0
DRV00099,2024-09-01,0.027535576,0
DRV00083,2024-09-01,0.026850963,0
DRV00044,2024-09-01,0.026492031,0
DRV00047,2024-09-01,0.02555348,0
DRV00071,2024-09-01,0.025296612,0
DRV00022,2024-09-01,0.023911733,0
DRV00079,2024-09-01,0.02336855,0
DRV00039,2024-09-01,0.023048464,0
DRV00132,2024-09-01,0.022683408,0
DRV00081,2024-09-01,0.022468695,0
DRV00112,2024-09-01,0.022294313,0
DRV00037,2024-09-01,0.02209539,0
DRV00058,2024-09-01,0.021927986,0
DRV00069,2024-09-01,0.021579426,0
DRV00148,2024-09-01,0.021364292,0
DRV00090,2024-09-01,0.02131363,0
DRV00003,2024-09-01,0.02097546,0
DRV00149,2024-09-01,0.020259995,0
DRV00063,2024-09-01,0.018417455,0
DRV00061,2024-09-01,0.01717427,0
DRV00100,2024-09-01,0.016417602,0
DRV00078,2024-09-01,0.014899204,0
DRV00142,2024-09-01,0.014188371,0
DRV00049,2024-09-01,0.013843004,0
DRV00117,2024-09-01,0.012993151,0
DRV00098,2024-09-01,0.0118505685,1
DRV00141,2024-09-01,0.011843545,1
DRV00105,2024-09-01,0.011352103,0
DRV00126,2024-09-01,0.010446564,0
DRV00111,2024-09-01,0.00987931,0
DRV00146,2024-09-01,0.00983649,0
DRV00087,2024-09-01,0.009722598,0
DRV00124,2024-09-01,0.009657598,0
DRV00025,2024-09-01,0.009551394,0
DRV00109,2024-09-01,0.009347643,0
DRV00001,2024-09-01,0.009335653,0
DRV00123,2024-09-01,0.009175092,0
DRV00035,2024-09-01,0.009093077,0
DRV00006,2024-09-01,0.009015664,0
DRV00128,2024-09-01,0.008697112,0
DRV00125,2024-09-01,0.008138,0
DRV00028,2024-09-01,0.008096054,1
DRV00018,2024-09-01,0.007846596,0
DRV00089,2024-09-01,0.0077714343,0
DRV00029,2024-09-01,0.007710853,0
DRV00020,2024-09-01,0.0068662255,0
DRV00091,2024-09-01,0.0065521486,0
DRV00023,2024-09-01,0.0064360104,0
DRV00065,2024-09-01,0.0062284875,0
DRV00074,2024-09-01,0.006005631,0
DRV00070,2024-09-01,0.0058176178,0
DRV00033,2024-09-01,0.0056180595,0
DRV00134,2024-09-01,0.0049647107,0
DRV00005,2024-09-01,0.00463843,0
DRV00085,2024-09-01,0.0038503162,0
DRV00077,2024-09-01,0.0034837238,0
DRV00113,2024-09-01,0.0034780966,0
DRV00122,2024-09-01,0.0033990133,0
DRV00026,2024-09-01,0.0025964514,0
DRV00019,2024-09-01,0.002498852,0
DRV00103,2024-09-01,0.0023017917,0
DRV00030,2024-09-01,0.0013500912,0
DRV00120,2024-09-01,0.0007694521,0
