driver_id,as_of_month,prob_3m,y_true_3m
DRV00129,2024-04-01,0.99840575,1
DRV00070,2024-04-01,0.9975097,1
DRV00105,2024-04-01,0.99723285,1
DRV00133,2024-04-01,0.99368906,1
DRV00132,2024-04-01,0.99143463,1
DRV00141,2024-04-01,0.6974595,0
DRV00097,2024-04-01,0.6283612,0
DRV00104,2024-04-01,0.59392524,0
DRV00118,2024-04-01,0.5656982,0
DRV00084,2024-04-01,0.45717666,0
DRV00069,2024-04-01,0.44924355,0
DRV00147,2024-04-01,0.40639055,0
DRV00005,2024-04-01,0.39967516,0
DRV00060,2024-04-01,0.39599165,0
DRV00080,2024-04-01,0.3656609,0
DRV00064,2024-04-01,0.35886216,0
DRV00082,2024-04-01,0.326837,0
DRV00124,2024-04-01,0.31176043,0
DRV00110,2024-04-01,0.28176457,0
DRV00035,2024-04-01,0.26907492,0
DRV00039,2024-04-01,0.24352211,0
DRV00138,2024-04-01,0.23763756,0
DRV00038,2024-04-01,0.23636995,1
DRV00009,2024-04-01,0.23490047,0
DRV00029,2024-04-01,0.21804985,0
DRV00075,2024-04-01,0.20596798,0
DRV00053,2024-04-01,0.19687635,0
DRV00062,2024-04-01,0.19507004,0
DRV00016,2024-04-01,0.18695016,0
DRV00065,2024-04-01,0.18682724,0
DRV00145,2024-04-01,0.18126668,0
DRV00098,2024-04-01,0.15823667,0
DRV00119,2024-04-01,0.15813527,1
DRV00047,2024-04-01,0.15362059,0
DRV00094,2024-04-01,0.15253769,1
DRV00101,2024-04-01,0.15022689,1
DRV00037,2024-04-01,0.14335915,0
DRV00004,2024-04-01,0.14127633,0
DRV00085,2024-04-01,0.13405932,0
DRV00126,2024-04-01,0.12784448,0
DRV00025,2024-04-01,0.12658371,0
DRV00109,2024-04-01,0.119523354,0
DRV00103,2024-04-01,0.11942635,0
DRV00130,2024-04-01,0.119019814,0
DRV00050,2024-04-01,0.11866633,0
DRV00002,2024-04-01,0.11564105,0
DRV00028,2024-04-01,0.11154338,0
DRV00100,2024-04-01,0.11137051,0
DRV00113,2024-04-01,0.110676505,0
DRV00058,2024-04-01,0.10801699,0
DRV00045,2024-04-01,0.10709312,0
DRV00087,2024-04-01,0.104393475,0
DRV00010,2024-04-01,0.10385223,0
DRV00121,2024-04-01,0.102129,0
DRV00003,2024-04-01,0.09844871,0
DRV00123,2024-04-01,0.091026336,0
DRV00143,2024-04-01,0.08472148,0
DRV00083,2024-04-01,0.07959043,0
DRV00139,2024-04-01,0.07772119,1
DRV00055,2024-04-01,0.07756135,0
DRV00041,2024-04-01,0.07511362,0
DRV00023,2024-04-01,0.074826404,0
DRV00088,2024-04-01,0.074411556,1
DRV00148,2024-04-01,0.07233089,0
DRV00117,2024-04-01,0.06886263,0
DRV00012,2024-04-01,0.06391493,0
DRV00043,2024-04-01,0.056320954,0
DRV00057,2024-04-01,0.05497051,0
DRV00030,2024-04-01,0.053986527,0
DRV00125,2024-04-01,0.053634036,0
DRV00078,2024-04-01,0.05220019,0
DRV00071,2024-04-01,0.049557045,0
DRV00026,2024-04-01,0.04718011,0
DRV00090,2024-04-01,0.046427306,0
DRV00056,2024-04-01,0.0451421,0
DRV00059,2024-04-01,0.04488588,0
DRV00017,2024-04-01,0.044271234,0
DRV00061,2024-04-01,0.0429131,0
DRV00074,2024-04-01,0.04238568,1
DRV00095,2024-04-01,0.03988903,0
DRV00054,2024-04-01,0.03911047,0
DRV00142,2024-04-01,0.036817756,0
DRV00036,2024-04-01,0.035855934,0
DRV00033,2024-04-01,0.035817046,0
DRV00032,2024-04-01,0.034618814,0
DRV00134,2024-04-01,0.03420028,0
DRV00034,2024-04-01,0.03139661,0
DRV00092,2024-04-01,0.031195393,0
DRV00019,2024-04-01,0.030440075,0
DRV00128,2024-04-01,0.026793445,0
DRV00006,2024-04-01,0.026100157,0
DRV00001,2024-04-01,0.026090704,0
DRV00081,2024-04-01,0.023761163,0
DRV00015,2024-04-01,0.023409378,0
DRV00044,2024-04-01,0.023365248,0
DRV00022,2024-04-01,0.017876152,0
DRV00063,2024-04-01,0.017747093,0
DRV00099,2024-04-01,0.016916571,0
DRV00091,2024-04-01,0.016238993,0
DRV00102,2024-04-01,0.015392303,0
DRV00011,2024-04-01,0.01531867,0
DRV00049,2024-04-01,0.01497009,0
DRV00149,2024-04-01,0.014707345,0
DRV00150,2024-04-01,0.014006642,0
DRV00020,2024-04-01,0.013720448,0
DRV00014,2024-04-01,0.012989165,0
DRV00018,2024-04-01,0.011372989,1
DRV00051,2024-04-01,0.011337673,0
DRV00089,2024-04-01,0.01040498,1
DRV00108,2024-04-01,0.009634322,0
DRV00146,2024-04-01,0.009194254,0
DRV00077,2024-04-01,0.009054088,0
DRV00144,2024-04-01,0.008812946,0
DRV00079,2024-04-01,0.006929323,0
DRV00024,2024-04-01,0.0067823916,0
DRV00112,2024-04-01,0.00657593,0
DRV00111,2024-04-01,0.0065164124,0
DRV00127,2024-04-01,0.00575619,0
DRV00107,2024-04-01,0.005714988,0
DRV00114,2024-04-01,0.0042844308,0
DRV00013,2024-04-01,0.0040000617,0
DRV00066,2024-04-01,0.0012319062,0
DRV00122,2024-04-01,0.0006435163,1
DRV00120,2024-04-01,0.00034335186,0
