feature,coef,abs_coef
incidents_prev_12m,0.4529654499299402,0.4529654499299402
incidents_prev_6m,0.42631096485221254,0.42631096485221254
incidents_prev_3m,0.4151847967858943,0.4151847967858943
unique_trucks,-0.16882415008707627,0.16882415008707627
average_idle_hours,-0.060103309061413375,0.060103309061413375
trips_completed,-0.04853960207738096,0.04853960207738096
average_mpg,0.03545932125559477,0.03545932125559477
detention_minutes_avg,-0.025165623923161334,0.025165623923161334
trips_prev_3m,0.0230712357495851,0.0230712357495851
ontime_drop_ratio,0.015401127117971463,0.015401127117971463
lifetime_incidents_cnt,-0.011490112306590531,0.011490112306590531
mpg_drop_ratio,0.008027453752365354,0.008027453752365354
incident_rate_prev_3m,0.007604945942460895,0.007604945942460895
trips_prev_6m,0.004198247898931258,0.004198247898931258
incident_rate_prev_6m,0.003968311797972244,0.003968311797972244
incident_rate_prev_12m,0.0021635715307598757,0.0021635715307598757
on_time_delivery_rate,-0.0010592189581184685,0.0010592189581184685
detention_minutes_sum,0.0010163852669918872,0.0010163852669918872
trips_prev_12m,0.0008796776200575499,0.0008796776200575499
idle_spike_ratio,-0.0007829212898665872,0.0007829212898665872
truck_churn_rate,-0.000620907043567817,0.000620907043567817
total_fuel_gallons,0.0005055927480611964,0.0005055927480611964
months_in_company,-0.00047387919056978637,0.00047387919056978637
lifetime_incident_rate,9.175888276775273e-05,9.175888276775273e-05
months_since_last_incident,-7.180840167449664e-05,7.180840167449664e-05
total_miles,-5.8891871372279103e-05,5.8891871372279103e-05
lifetime_trips_cnt,2.259184970787771e-05,2.259184970787771e-05
total_revenue,-2.459267108351144e-06,2.459267108351144e-06
