driver_id,y_true,score,n_months
DRV00002,1,0.8384469506895882,6
DRV00118,1,0.8292197177168096,6
DRV00036,1,0.8269221522720731,6
DRV00043,1,0.8241431024471833,6
DRV00138,1,0.8004806088925137,6
DRV00004,1,0.775533374852144,6
DRV00132,1,0.6737280179810442,6
DRV00066,1,0.6505758358504244,6
DRV00003,1,0.6275362779558513,6
DRV00060,1,0.5923677127513334,6
DRV00100,1,0.5788291931047612,6
DRV00051,1,0.5713109574619993,6
DRV00058,1,0.565743864043812,6
DRV00090,1,0.561767438914319,6
DRV00119,1,0.5244722744299294,6
DRV00018,1,0.36449834712390755,6
DRV00012,0,0.34807644257377174,6
DRV00082,0,0.335653538040049,6
DRV00010,0,0.3258101922447048,6
DRV00006,0,0.32494622566937265,6
DRV00121,0,0.3135351575465885,6
DRV00139,1,0.30706083661943057,6
DRV00038,1,0.30251425638373064,6
DRV00088,1,0.2983256526290247,6
DRV00075,0,0.29757274677411993,6
DRV00149,0,0.2966783199958476,6
DRV00005,0,0.28547116429379193,6
DRV00016,0,0.28322240154767764,6
DRV00141,1,0.28170373679637645,6
DRV00070,1,0.27995146711367774,6
DRV00133,1,0.27865070304175266,6
DRV00129,1,0.2778382484904408,6
DRV00101,1,0.27672210466869973,6
DRV00117,0,0.27255000055379475,6
DRV00084,0,0.27020858933845243,6
DRV00080,0,0.2659887732497098,6
DRV00078,0,0.26512265918419103,6
DRV00148,0,0.2645217076953547,6
DRV00014,0,0.26262914139666155,6
DRV00122,1,0.2595603725723652,6
DRV00130,0,0.2522483843251682,6
DRV00143,0,0.25035755225259493,6
DRV00074,1,0.24318823741984558,6
DRV00105,1,0.2427376046783517,6
DRV00061,0,0.241746681291605,6
DRV00013,0,0.2410904099971576,6
DRV00039,0,0.2401952138565441,6
DRV00017,0,0.23872933220082754,6
DRV00033,0,0.23802798402911796,6
DRV00150,0,0.2374300481428416,6
DRV00037,0,0.2370526337392076,6
DRV00009,0,0.23669387197596667,6
DRV00041,0,0.23636497567833623,6
DRV00054,0,0.23582603934266347,6
DRV00085,0,0.2356667656244577,6
DRV00015,0,0.23413830412619976,6
DRV00097,0,0.233869645368414,6
DRV00053,0,0.22682830326158454,6
DRV00011,0,0.22556578493051485,6
DRV00104,0,0.2163794369856485,6
DRV00089,1,0.21446096068565793,6
DRV00094,1,0.2140370715720383,6
DRV00108,0,0.21226827248091593,6
DRV00114,0,0.21184860434212924,6
DRV00091,0,0.21035061811796765,6
DRV00134,0,0.2083334236306213,6
DRV00001,0,0.20648906978029619,6
DRV00098,1,0.20310504923276212,6
DRV00022,0,0.20235405884334462,6
DRV00024,0,0.20226194713041465,6
DRV00056,0,0.20155471809935893,6
DRV00147,1,0.20023143828383844,6
DRV00025,0,0.19809562975818035,6
DRV00099,0,0.19547039008684855,6
DRV00124,0,0.1915819044328574,6
DRV00145,0,0.1907124101831457,6
DRV00083,0,0.18973837027084778,6
DRV00035,0,0.18968089155339854,6
DRV00020,0,0.1883523422514821,6
DRV00064,0,0.1877180568262711,6
DRV00019,0,0.18689645665453303,6
DRV00028,1,0.1818586372817347,6
DRV00050,0,0.1786490560548856,6
DRV00095,1,0.17718312870185943,6
DRV00059,0,0.17285451817684516,6
DRV00087,0,0.17284061410146,6
DRV00062,0,0.1715201109246778,6
DRV00120,0,0.17070569165796826,6
DRV00123,0,0.16852207974190722,6
DRV00049,0,0.16783775400655768,6
DRV00045,0,0.16526608463086911,6
DRV00146,0,0.1642761071899263,6
DRV00112,0,0.16300990229553555,6
DRV00055,0,0.16171482101030824,6
DRV00144,0,0.15526561010937961,6
DRV00026,0,0.15445833638974363,6
DRV00111,0,0.15349398148121174,6
DRV00103,0,0.15108159569865584,6
DRV00032,0,0.1503199639925806,6
DRV00107,0,0.1421758698664098,6
DRV00127,1,0.14209247269731873,6
DRV00081,0,0.14196379523804437,6
DRV00071,0,0.14181861303083457,6
DRV00079,0,0.14172739394481812,6
DRV00065,0,0.13915605143034432,6
DRV00034,0,0.13787716592850674,6
DRV00047,0,0.1376480818990332,6
DRV00110,0,0.13490378924366722,6
DRV00029,0,0.13146145079871002,6
DRV00030,0,0.1312318193652385,6
DRV00063,0,0.13073920841681605,6
DRV00044,0,0.13071508205085702,6
DRV00142,0,0.12931482429184074,6
DRV00102,1,0.1289689987689745,6
DRV00092,0,0.12554011890679972,6
DRV00023,0,0.124752361231918,6
DRV00125,0,0.1242809663151668,6
DRV00057,0,0.12220814771556353,6
DRV00126,0,0.11947283955652709,6
DRV00077,0,0.11938493947449949,6
DRV00113,0,0.11935508547743826,6
DRV00128,0,0.11542874563069047,6
DRV00109,0,0.11394772221601791,6
DRV00069,0,0.10764981749105498,6
