driver_id,as_of_month,prob_3m,y_true_3m
DRV00066,2024-08-01,0.9976634,1
DRV00051,2024-08-01,0.9969414,1
DRV00060,2024-08-01,0.9961247,1
DRV00003,2024-08-01,0.9906378,1
DRV00129,2024-08-01,0.9544941,0
DRV00004,2024-08-01,0.7780895,1
DRV00026,2024-08-01,0.55468863,0
DRV00148,2024-08-01,0.4884106,0
DRV00087,2024-08-01,0.46518415,0
DRV00077,2024-08-01,0.3565989,0
DRV00127,2024-08-01,0.34083945,1
DRV00017,2024-08-01,0.33939755,0
DRV00133,2024-08-01,0.32541314,0
DRV00121,2024-08-01,0.32391766,0
DRV00038,2024-08-01,0.30203936,0
DRV00105,2024-08-01,0.27335384,0
DRV00062,2024-08-01,0.26821107,0
DRV00013,2024-08-01,0.26813963,0
DRV00150,2024-08-01,0.2627919,0
DRV00139,2024-08-01,0.25027043,0
DRV00149,2024-08-01,0.24543147,0
DRV00099,2024-08-01,0.22315967,0
DRV00100,2024-08-01,0.22174706,0
DRV00059,2024-08-01,0.21756196,0
DRV00035,2024-08-01,0.2022062,0
DRV00141,2024-08-01,0.19996294,1
DRV00028,2024-08-01,0.19413301,1
DRV00025,2024-08-01,0.18974477,0
DRV00030,2024-08-01,0.18685631,0
DRV00145,2024-08-01,0.17070894,0
DRV00098,2024-08-01,0.16490884,1
DRV00095,2024-08-01,0.16047789,1
DRV00056,2024-08-01,0.15765993,0
DRV00089,2024-08-01,0.15691736,0
DRV00015,2024-08-01,0.14692421,0
DRV00084,2024-08-01,0.1389574,0
DRV00132,2024-08-01,0.12736621,0
DRV00024,2024-08-01,0.12439743,0
DRV00018,2024-08-01,0.118509226,0
DRV00002,2024-08-01,0.112584695,1
DRV00114,2024-08-01,0.10527713,0
DRV00124,2024-08-01,0.10460726,0
DRV00039,2024-08-01,0.10140878,0
DRV00029,2024-08-01,0.09934526,0
DRV00012,2024-08-01,0.0992371,0
DRV00034,2024-08-01,0.09745553,0
DRV00061,2024-08-01,0.09742036,0
DRV00010,2024-08-01,0.09411398,0
DRV00147,2024-08-01,0.09217325,1
DRV00104,2024-08-01,0.091405824,0
DRV00016,2024-08-01,0.08378588,0
DRV00117,2024-08-01,0.08368647,0
DRV00109,2024-08-01,0.08224073,0
DRV00142,2024-08-01,0.08106046,0
DRV00107,2024-08-01,0.079999626,0
DRV00088,2024-08-01,0.07972245,0
DRV00102,2024-08-01,0.0767923,0
DRV00108,2024-08-01,0.07674763,0
DRV00050,2024-08-01,0.07548022,0
DRV00082,2024-08-01,0.06998936,0
DRV00057,2024-08-01,0.06686354,0
DRV00126,2024-08-01,0.066318296,0
DRV00032,2024-08-01,0.066174,0
DRV00071,2024-08-01,0.059989765,0
DRV00063,2024-08-01,0.058518004,0
DRV00054,2024-08-01,0.05712866,0
DRV00011,2024-08-01,0.056061964,0
DRV00058,2024-08-01,0.056047358,0
DRV00079,2024-08-01,0.054271862,0
DRV00005,2024-08-01,0.053562608,0
DRV00049,2024-08-01,0.049897518,0
DRV00022,2024-08-01,0.04811577,0
DRV00009,2024-08-01,0.047879342,0
DRV00075,2024-08-01,0.046227187,0
DRV00112,2024-08-01,0.045608126,0
DRV00120,2024-08-01,0.04547604,0
DRV00043,2024-08-01,0.04544727,1
DRV00041,2024-08-01,0.043828476,0
DRV00023,2024-08-01,0.04372376,0
DRV00097,2024-08-01,0.042991567,0
DRV00085,2024-08-01,0.040829316,0
DRV00036,2024-08-01,0.03990083,1
DRV00143,2024-08-01,0.03788163,0
DRV00101,2024-08-01,0.036848992,0
DRV00103,2024-08-01,0.0365513,0
DRV00044,2024-08-01,0.036418684,0
DRV00037,2024-08-01,0.036365375,0
DRV00128,2024-08-01,0.03560686,0
DRV00033,2024-08-01,0.03541012,0
DRV00047,2024-08-01,0.032734353,0
DRV00123,2024-08-01,0.03184746,0
DRV00014,2024-08-01,0.029595,0
DRV00053,2024-08-01,0.028937126,0
DRV00083,2024-08-01,0.026977422,0
DRV00134,2024-08-01,0.026626388,0
DRV00094,2024-08-01,0.026315778,0
DRV00092,2024-08-01,0.025031023,0
DRV00080,2024-08-01,0.024948461,0
DRV00138,2024-08-01,0.022842765,1
DRV00113,2024-08-01,0.022109604,0
DRV00111,2024-08-01,0.021913921,0
DRV00069,2024-08-01,0.021877894,0
DRV00130,2024-08-01,0.021832868,0
DRV00090,2024-08-01,0.02150599,0
DRV00078,2024-08-01,0.020253375,0
DRV00119,2024-08-01,0.020071093,0
DRV00074,2024-08-01,0.019886851,0
DRV00065,2024-08-01,0.017857552,0
DRV00045,2024-08-01,0.016441105,0
DRV00144,2024-08-01,0.013629955,0
DRV00020,2024-08-01,0.01357538,0
DRV00055,2024-08-01,0.01279117,0
DRV00125,2024-08-01,0.011047044,0
DRV00081,2024-08-01,0.011012714,0
DRV00146,2024-08-01,0.009936418,0
DRV00064,2024-08-01,0.009449621,0
DRV00122,2024-08-01,0.008330959,0
DRV00110,2024-08-01,0.0073616747,0
DRV00070,2024-08-01,0.0061446554,0
DRV00006,2024-08-01,0.004168209,0
DRV00118,2024-08-01,0.0037114804,1
DRV00001,2024-08-01,0.0033994317,0
DRV00019,2024-08-01,0.0013415561,0
DRV00091,2024-08-01,0.00066748494,0
