driver_id,as_of_month,prob_3m,y_true_3m
DRV00002,2024-09-01,0.9991753972607142,1
DRV00004,2024-09-01,0.9876603210247148,1
DRV00036,2024-09-01,0.9857501180515412,1
DRV00043,2024-09-01,0.9584140273817842,1
DRV00138,2024-09-01,0.9578233996941552,1
DRV00118,2024-09-01,0.8914230860210818,1
DRV00088,2024-09-01,0.3837830526261586,0
DRV00130,2024-09-01,0.3226759362703921,0
DRV00054,2024-09-01,0.2652510073400341,0
DRV00097,2024-09-01,0.244665819117365,0
DRV00009,2024-09-01,0.1914498792894261,0
DRV00095,2024-09-01,0.1504251620235348,1
DRV00038,2024-09-01,0.1500623166847084,0
DRV00133,2024-09-01,0.137764601935461,0
DRV00057,2024-09-01,0.1095325477721819,0
DRV00075,2024-09-01,0.1091640460590921,0
DRV00101,2024-09-01,0.083089516827541,0
DRV00010,2024-09-01,0.0783428507170705,0
DRV00012,2024-09-01,0.0604847087651331,0
DRV00080,2024-09-01,0.0599148035705315,0
DRV00062,2024-09-01,0.0549593545274795,0
DRV00022,2024-09-01,0.0548314222861199,0
DRV00041,2024-09-01,0.0526292726911668,0
DRV00017,2024-09-01,0.0514659245693342,0
DRV00090,2024-09-01,0.0485251004374467,0
DRV00094,2024-09-01,0.0412943194624335,0
DRV00127,2024-09-01,0.036887956396455,1
DRV00139,2024-09-01,0.0366662310629283,0
DRV00143,2024-09-01,0.0364407432294633,0
DRV00051,2024-09-01,0.0362580179758073,0
DRV00024,2024-09-01,0.0349946993910986,0
DRV00114,2024-09-01,0.0349777886365089,0
DRV00050,2024-09-01,0.0345883041324469,0
DRV00039,2024-09-01,0.0328836885258441,0
DRV00015,2024-09-01,0.0294172812287404,0
DRV00148,2024-09-01,0.0292210479078699,0
DRV00016,2024-09-01,0.0286928466621011,0
DRV00014,2024-09-01,0.0275588606754744,0
DRV00011,2024-09-01,0.0275299733501018,0
DRV00066,2024-09-01,0.0256361952556758,0
DRV00119,2024-09-01,0.0247135816160967,1
DRV00107,2024-09-01,0.0236231831011555,0
DRV00037,2024-09-01,0.023445121550307,0
DRV00079,2024-09-01,0.0221115921652047,0
DRV00032,2024-09-01,0.019312577260141,0
DRV00134,2024-09-01,0.0186130257201489,0
DRV00034,2024-09-01,0.0170602750051752,0
DRV00055,2024-09-01,0.016751186295561,0
DRV00049,2024-09-01,0.0166744000238001,0
DRV00056,2024-09-01,0.0163143665929279,0
DRV00083,2024-09-01,0.0156744815999963,0
DRV00147,2024-09-01,0.0154866650911835,1
DRV00102,2024-09-01,0.0143112017275535,1
DRV00110,2024-09-01,0.0139472402597299,0
DRV00065,2024-09-01,0.0134870183443714,0
DRV00025,2024-09-01,0.0134080328096363,0
DRV00064,2024-09-01,0.0130807639774086,0
DRV00145,2024-09-01,0.0130507916393216,0
DRV00018,2024-09-01,0.0129714505042331,0
