driver_id,y_true,score,n_months
DRV00002,1,0.8220939454282582,6
DRV00138,1,0.8154179886091211,6
DRV00036,1,0.8123333429618012,6
DRV00004,1,0.808257469157322,6
DRV00118,1,0.8081454510046682,6
DRV00043,1,0.8076402071282112,6
DRV00132,1,0.5265881472525185,6
DRV00119,1,0.5180652794717681,6
DRV00122,1,0.5159091158455871,6
DRV00066,1,0.515132393438458,6
DRV00105,1,0.5095762066131729,6
DRV00058,1,0.507312003377073,6
DRV00003,1,0.5061742754340269,6
DRV00060,1,0.5032603569804364,6
DRV00037,0,0.5016407712799322,6
DRV00094,1,0.5003532545757549,6
DRV00051,1,0.5001507091664443,6
DRV00012,0,0.4998586588334824,6
DRV00150,0,0.4992498831942351,6
DRV00100,1,0.4985102474281758,6
DRV00143,0,0.49752807440863916,6
DRV00038,1,0.4968236424619825,6
DRV00088,1,0.49418147289706926,6
DRV00129,1,0.4941616699605237,6
DRV00070,1,0.49386924333365756,6
DRV00056,0,0.4934539206337697,6
DRV00061,0,0.4934388130309752,6
DRV00121,0,0.49154410400482984,6
DRV00013,0,0.4901364970235445,6
DRV00133,1,0.48966707380340263,6
DRV00089,1,0.48951791925666177,6
DRV00018,1,0.4891629199572059,6
DRV00099,0,0.48867442049763715,6
DRV00090,1,0.4880888196820174,6
DRV00104,0,0.48386302258757274,6
DRV00101,1,0.48309206179369896,6
DRV00147,1,0.48192539814883195,6
DRV00074,1,0.4817497347707562,6
DRV00130,0,0.48108055586538434,6
DRV00053,0,0.4808311965462639,6
DRV00075,0,0.480579526879253,6
DRV00139,1,0.4798527516351456,6
DRV00017,0,0.47934640399203493,6
DRV00082,0,0.47673452823831647,6
DRV00024,0,0.4765762543611247,6
DRV00098,1,0.47598531172765324,6
DRV00010,0,0.4756415437002797,6
DRV00050,0,0.4753502284974259,6
DRV00149,0,0.4752401741732592,6
DRV00059,0,0.47511968167156216,6
DRV00084,0,0.4741731627774305,6
DRV00108,0,0.4735830769854503,6
DRV00128,0,0.4728148877132504,6
DRV00029,0,0.47263655877682886,6
DRV00113,0,0.4725555122646036,6
DRV00080,0,0.47250839656341737,6
DRV00054,0,0.47214472680658626,6
DRV00033,0,0.47196163780712236,6
DRV00103,0,0.4715303051197112,6
DRV00077,0,0.47088416397537175,6
DRV00134,0,0.4706740352783022,6
DRV00006,0,0.4706051485799419,6
DRV00041,0,0.4703535334906079,6
DRV00044,0,0.4703527181950617,6
DRV00022,0,0.4697235859808561,6
DRV00063,0,0.4693753658070159,6
DRV00015,0,0.4693346200087928,6
DRV00111,0,0.46923571409830006,6
DRV00030,0,0.4684648163633265,6
DRV00025,0,0.46818474273235755,6
DRV00123,0,0.4664223782017927,6
DRV00120,0,0.46632910568830804,6
DRV00142,0,0.4649122119507946,6
DRV00083,0,0.4640198238321847,6
DRV00064,0,0.4629293951566071,6
DRV00039,0,0.4628514112942417,6
DRV00023,0,0.460262698667641,6
DRV00141,1,0.4598571530821541,6
DRV00049,0,0.45953774787205603,6
DRV00078,0,0.45948011383588344,6
DRV00085,0,0.4594472374318871,6
DRV00126,0,0.4593477627680039,6
DRV00087,0,0.4589173164534701,6
DRV00097,0,0.45867316852766415,6
DRV00095,1,0.45864522173315775,6
DRV00011,0,0.4584562577059752,6
DRV00102,1,0.4574875679425022,6
DRV00016,0,0.45686758948810274,6
DRV00145,0,0.45668174806129797,6
DRV00005,0,0.4566208692152612,6
DRV00109,0,0.45616406575126484,6
DRV00019,0,0.45573565453710524,6
DRV00114,0,0.4555059400980535,6
DRV00032,0,0.4553206965477079,6
DRV00035,0,0.4548496511829226,6
DRV00069,0,0.45481813589978626,6
DRV00127,1,0.45473906050926244,6
DRV00045,0,0.45430361940848946,6
DRV00047,0,0.4538219211727802,6
DRV00144,0,0.45348513289254816,6
DRV00081,0,0.4534452935087443,6
DRV00092,0,0.4533425702108019,6
DRV00062,0,0.4530555655654557,6
DRV00079,0,0.45300288205166317,6
DRV00107,0,0.4527615411981716,6
DRV00026,0,0.452591448500834,6
DRV00020,0,0.4519967422872178,6
DRV00146,0,0.45147623302270146,6
DRV00057,0,0.4512406545284555,6
DRV00028,1,0.45099167048038996,6
DRV00148,0,0.4507505692901736,6
DRV00117,0,0.44994240883606723,6
DRV00071,0,0.4498200412286496,6
DRV00125,0,0.44981717804811383,6
DRV00110,0,0.4483871269234615,6
DRV00065,0,0.4478512309484703,6
DRV00001,0,0.4468431812826563,6
DRV00112,0,0.44568568355514965,6
DRV00124,0,0.4448993758761736,6
DRV00034,0,0.44428327140679774,6
DRV00014,0,0.44358978511349606,6
DRV00009,0,0.43890865880992075,6
DRV00055,0,0.43769935038672875,6
DRV00091,0,0.42642700993371335,6
