driver_id,month,y_true,score
DRV00001,2024-04-01,0,0.03540415930749902
DRV00001,2024-05-01,0,0.0087240569545856
DRV00001,2024-06-01,0,0.06457644320404542
DRV00001,2024-07-01,0,0.023368998173076454
DRV00001,2024-08-01,0,0.003416781772539994
DRV00001,2024-09-01,0,0.010047714977938473
DRV00002,2024-04-01,0,0.038620198789323934
DRV00002,2024-05-01,0,0.05477246294533089
DRV00002,2024-06-01,0,0.2666356936375159
DRV00002,2024-07-01,1,0.06308732469065888
DRV00002,2024-08-01,1,0.33822092004929144
DRV00002,2024-09-01,1,0.9971302246106513
DRV00003,2024-04-01,0,0.011878494391594848
DRV00003,2024-05-01,0,0.03564482432245456
DRV00003,2024-06-01,1,0.014490160233137032
DRV00003,2024-07-01,1,0.009612507312261665
DRV00003,2024-08-01,1,0.9963123096958163
DRV00003,2024-09-01,0,0.021914775228228437
DRV00004,2024-04-01,0,0.02569413594544471
DRV00004,2024-05-01,0,0.026194719184667477
DRV00004,2024-06-01,0,0.01944049149616304
DRV00004,2024-07-01,1,0.1496362136500041
DRV00004,2024-08-01,1,0.20815276234808364
DRV00004,2024-09-01,1,0.9954780735263462
DRV00005,2024-04-01,0,0.08395304892153414
DRV00005,2024-05-01,0,0.11251021010181546
DRV00005,2024-06-01,0,0.1618286890601733
DRV00005,2024-07-01,0,0.05233403841983533
DRV00005,2024-08-01,0,0.05685922678045281
DRV00005,2024-09-01,0,0.0026664708824392378
DRV00006,2024-04-01,0,0.007383641713798151
DRV00006,2024-05-01,0,0.019924587753414588
DRV00006,2024-06-01,0,0.05682321261646795
DRV00006,2024-07-01,0,0.005518257422502812
DRV00006,2024-08-01,0,0.03566477769961873
DRV00006,2024-09-01,0,0.008859217164649266
DRV00009,2024-04-01,0,0.0014574208450701146
DRV00009,2024-05-01,0,0.004070936576390697
DRV00009,2024-06-01,0,0.0008107268908606714
DRV00009,2024-07-01,0,0.028884585777131835
DRV00009,2024-08-01,0,0.004635434671733128
DRV00009,2024-09-01,0,0.02220079089887975
DRV00010,2024-04-01,0,0.22487365683740196
DRV00010,2024-05-01,0,0.047784670609538706
DRV00010,2024-06-01,0,0.43747010750909854
DRV00010,2024-07-01,0,0.07466800084534461
DRV00010,2024-08-01,0,0.1957698416832284
DRV00010,2024-09-01,0,0.04518505209049696
DRV00011,2024-04-01,0,0.0777417432027669
DRV00011,2024-05-01,0,0.018209199260357942
DRV00011,2024-06-01,0,0.015329108357208233
