driver_id,month,y_true,score
DRV00001,2024-04-01,0,0.07349163
DRV00001,2024-05-01,0,0.028880574
DRV00001,2024-06-01,0,0.056862313
DRV00001,2024-07-01,0,0.029947931
DRV00001,2024-08-01,0,0.0027710856
DRV00001,2024-09-01,0,0.009335653
DRV00002,2024-04-01,0,0.10568901
DRV00002,2024-05-01,0,0.18010974
DRV00002,2024-06-01,0,0.19741668
DRV00002,2024-07-01,1,0.16850348
DRV00002,2024-08-01,1,0.3030369
DRV00002,2024-09-01,1,0.99737346
DRV00003,2024-04-01,0,0.050448928
DRV00003,2024-05-01,0,0.07972296
DRV00003,2024-06-01,1,0.096079044
DRV00003,2024-07-01,1,0.01717274
DRV00003,2024-08-01,1,0.9981901
DRV00003,2024-09-01,0,0.02097546
DRV00004,2024-04-01,0,0.06070954
DRV00004,2024-05-01,0,0.050236735
DRV00004,2024-06-01,0,0.040398724
DRV00004,2024-07-01,1,0.08155102
DRV00004,2024-08-01,1,0.09839677
DRV00004,2024-09-01,1,0.99676895
DRV00005,2024-04-01,0,0.18107702
DRV00005,2024-05-01,0,0.4318681
DRV00005,2024-06-01,0,0.25653496
DRV00005,2024-07-01,0,0.04071278
DRV00005,2024-08-01,0,0.09824773
DRV00005,2024-09-01,0,0.00463843
DRV00006,2024-04-01,0,0.0124338465
DRV00006,2024-05-01,0,0.008274575
DRV00006,2024-06-01,0,0.008723454
DRV00006,2024-07-01,0,0.005961281
DRV00006,2024-08-01,0,0.007357905
DRV00006,2024-09-01,0,0.009015664
DRV00009,2024-04-01,0,0.027895084
DRV00009,2024-05-01,0,0.007819221
DRV00009,2024-06-01,0,0.003076484
DRV00009,2024-07-01,0,0.0054489337
DRV00009,2024-08-01,0,0.022129994
DRV00009,2024-09-01,0,0.100885175
DRV00010,2024-04-01,0,0.27444682
DRV00010,2024-05-01,0,0.034262963
DRV00010,2024-06-01,0,0.4422581
DRV00010,2024-07-01,0,0.098513335
DRV00010,2024-08-01,0,0.39792445
DRV00010,2024-09-01,0,0.31713384
DRV00011,2024-04-01,0,0.19577676
DRV00011,2024-05-01,0,0.01003315
DRV00011,2024-06-01,0,0.0025679204
DRV00011,2024-07-01,0,0.0045929765
DRV00011,2024-08-01,0,0.3451068
DRV00011,2024-09-01,0,0.060746152
DRV00012,2024-04-01,0,0.04766106
DRV00012,2024-05-01,0,0.024896286
DRV00012,2024-06-01,0,0.019786472
DRV00012,2024-07-01,0,0.029114611
DRV00012,2024-08-01,0,0.043989696
DRV00012,2024-09-01,0,0.113761485
DRV00013,2024-04-01,0,0.053398315
DRV00013,2024-05-01,0,0.11749305
DRV00013,2024-06-01,0,0.012599232
DRV00013,2024-07-01,0,0.2627552
DRV00013,2024-08-01,0,0.09264816
DRV00013,2024-09-01,0,0.10166981
DRV00014,2024-04-01,0,0.040401243
DRV00014,2024-05-01,0,0.033536445
DRV00014,2024-06-01,0,0.1251384
DRV00014,2024-07-01,0,0.018641004
DRV00014,2024-08-01,0,0.025176061
DRV00014,2024-09-01,0,0.20025851
DRV00015,2024-04-01,0,0.029659364
DRV00015,2024-05-01,0,0.013212329
DRV00015,2024-06-01,0,0.060433064
DRV00015,2024-07-01,0,0.22497149
DRV00015,2024-08-01,0,0.07494772
DRV00015,2024-09-01,0,0.20123526
DRV00016,2024-04-01,0,0.01622709
DRV00016,2024-05-01,0,0.040511712
DRV00016,2024-06-01,0,0.08589995
DRV00016,2024-07-01,0,0.07904084
DRV00016,2024-08-01,0,0.07458003
DRV00016,2024-09-01,0,0.08241173
