driver_id,month,y_true,score
DRV00001,2024-04-01,0,0.48069231834171505
DRV00001,2024-05-01,0,0.5028584243254006
DRV00001,2024-06-01,0,0.4719197087865472
DRV00001,2024-07-01,0,0.5007355681020965
DRV00001,2024-08-01,0,0.4433533101489089
DRV00001,2024-09-01,0,0.4468431812826563
DRV00002,2024-04-01,0,0.4785197212015929
DRV00002,2024-05-01,0,0.48701691113719225
DRV00002,2024-06-01,0,0.4977947352216985
DRV00002,2024-07-01,1,0.4841287049148111
DRV00002,2024-08-01,1,0.4781081372895272
DRV00002,2024-09-01,1,0.8220939454282582
DRV00003,2024-04-01,0,0.4788344208118175
DRV00003,2024-05-01,0,0.4972986556165393
DRV00003,2024-06-01,1,0.4836253362916002
DRV00003,2024-07-01,1,0.46907530442962625
DRV00003,2024-08-01,1,0.8100219671368636
DRV00003,2024-09-01,0,0.5061742754340269
DRV00004,2024-04-01,0,0.4522341720486017
DRV00004,2024-05-01,0,0.4744315076616045
DRV00004,2024-06-01,0,0.4791014119049743
DRV00004,2024-07-01,1,0.45834001101437655
DRV00004,2024-08-01,1,0.4584423296126971
DRV00004,2024-09-01,1,0.808257469157322
DRV00005,2024-04-01,0,0.4728131583504738
DRV00005,2024-05-01,0,0.48423087255289426
DRV00005,2024-06-01,0,0.5084810254176282
DRV00005,2024-07-01,0,0.49050958437874953
DRV00005,2024-08-01,0,0.47297831399215395
DRV00005,2024-09-01,0,0.4566208692152612
DRV00006,2024-04-01,0,0.4772096133450336
DRV00006,2024-05-01,0,0.45053853670332533
DRV00006,2024-06-01,0,0.46729044262171815
DRV00006,2024-07-01,0,0.44127757563264436
DRV00006,2024-08-01,0,0.44943607129964813
DRV00006,2024-09-01,0,0.4706051485799419
DRV00009,2024-04-01,0,0.4660151046363729
DRV00009,2024-05-01,0,0.4417192818389335
DRV00009,2024-06-01,0,0.4404154196889985
DRV00009,2024-07-01,0,0.4543908479454602
DRV00009,2024-08-01,0,0.45482727462055633
DRV00009,2024-09-01,0,0.43890865880992075
DRV00010,2024-04-01,0,0.4542260468472002
DRV00010,2024-05-01,0,0.43536893366188084
DRV00010,2024-06-01,0,0.4555741669297733
DRV00010,2024-07-01,0,0.4732040986699975
DRV00010,2024-08-01,0,0.47571301378861836
DRV00010,2024-09-01,0,0.4756415437002797
DRV00011,2024-04-01,0,0.47128174610443874
DRV00011,2024-05-01,0,0.4714010191509079
DRV00011,2024-06-01,0,0.4766547137680675
DRV00011,2024-07-01,0,0.45481751225320155
DRV00011,2024-08-01,0,0.45941975983289285
DRV00011,2024-09-01,0,0.4584562577059752
DRV00012,2024-04-01,0,0.48416602897983513
DRV00012,2024-05-01,0,0.5020949680458833
DRV00012,2024-06-01,0,0.49388376770168596
DRV00012,2024-07-01,0,0.47336884647164323
DRV00012,2024-08-01,0,0.49910789263999444
DRV00012,2024-09-01,0,0.4998586588334824
DRV00013,2024-04-01,0,0.47933918307463663
DRV00013,2024-05-01,0,0.4865150660765187
DRV00013,2024-06-01,0,0.48845111694644744
DRV00013,2024-07-01,0,0.47347065745267825
DRV00013,2024-08-01,0,0.49507316646250965
DRV00013,2024-09-01,0,0.4901364970235445
DRV00014,2024-04-01,0,0.4693088160607526
DRV00014,2024-05-01,0,0.4633202683286675
DRV00014,2024-06-01,0,0.4796333988907898
DRV00014,2024-07-01,0,0.45432953984814556
DRV00014,2024-08-01,0,0.45387849290821036
DRV00014,2024-09-01,0,0.44358978511349606
DRV00015,2024-04-01,0,0.4600079899462258
DRV00015,2024-05-01,0,0.45472510507046243
DRV00015,2024-06-01,0,0.4649154816629016
DRV00015,2024-07-01,0,0.47892326172128047
DRV00015,2024-08-01,0,0.45931482394934575
DRV00015,2024-09-01,0,0.4693346200087928
DRV00016,2024-04-01,0,0.4806381361727258
DRV00016,2024-05-01,0,0.4753146253584729
DRV00016,2024-06-01,0,0.45893843724057054
DRV00016,2024-07-01,0,0.47049423769820486
DRV00016,2024-08-01,0,0.459836184663984
DRV00016,2024-09-01,0,0.45686758948810274
DRV00017,2024-04-01,0,0.47203754765768385
DRV00017,2024-05-01,0,0.4810957069350696
DRV00017,2024-06-01,0,0.45991252461516985
DRV00017,2024-07-01,0,0.45750541542326073
DRV00017,2024-08-01,0,0.45326412993877513
DRV00017,2024-09-01,0,0.47934640399203493
DRV00018,2024-04-01,1,0.46715528403177436
DRV00018,2024-05-01,1,0.49268968001070584
DRV00018,2024-06-01,1,0.8103135996387374
DRV00018,2024-07-01,0,0.49044082283147145
DRV00018,2024-08-01,0,0.4960929226711191
DRV00018,2024-09-01,0,0.4891629199572059
DRV00019,2024-04-01,0,0.4965150696699869
DRV00019,2024-05-01,0,0.4564586234082307
DRV00019,2024-06-01,0,0.46099660012728744
DRV00019,2024-07-01,0,0.4712195689403656
DRV00019,2024-08-01,0,0.4546677654000935
DRV00019,2024-09-01,0,0.45573565453710524
DRV00020,2024-04-01,0,0.4840973616684268
DRV00020,2024-05-01,0,0.46361096964531434
DRV00020,2024-06-01,0,0.46608433639760005
DRV00020,2024-07-01,0,0.4477664230139158
DRV00020,2024-08-01,0,0.4587923709594988
DRV00020,2024-09-01,0,0.4519967422872178
DRV00022,2024-04-01,0,0.44967501680066035
DRV00022,2024-05-01,0,0.4598604141248608
DRV00022,2024-06-01,0,0.45060069696993216
DRV00022,2024-07-01,0,0.45393863036252596
DRV00022,2024-08-01,0,0.453040807707846
DRV00022,2024-09-01,0,0.4697235859808561
DRV00023,2024-04-01,0,0.4622540908896776
DRV00023,2024-05-01,0,0.4571430423629035
DRV00023,2024-06-01,0,0.45397045097211125
DRV00023,2024-07-01,0,0.45465543225279764
DRV00023,2024-08-01,0,0.4644431826174499
DRV00023,2024-09-01,0,0.460262698667641
DRV00024,2024-04-01,0,0.4489524024243573
DRV00024,2024-05-01,0,0.46310574394039317
DRV00024,2024-06-01,0,0.4686570031550858
DRV00024,2024-07-01,0,0.4599063372000075
DRV00024,2024-08-01,0,0.47675714225065735
DRV00024,2024-09-01,0,0.4765762543611247
DRV00025,2024-04-01,0,0.46317632934865755
DRV00025,2024-05-01,0,0.45639094501588423
DRV00025,2024-06-01,0,0.45752055068395725
DRV00025,2024-07-01,0,0.4543949349284687
DRV00025,2024-08-01,0,0.4608232414524084
DRV00025,2024-09-01,0,0.46818474273235755
DRV00026,2024-04-01,0,0.4744709460508039
DRV00026,2024-05-01,0,0.4645895005632481
DRV00026,2024-06-01,0,0.47216591481577525
DRV00026,2024-07-01,0,0.4485447420839448
DRV00026,2024-08-01,0,0.4649119789628627
DRV00026,2024-09-01,0,0.452591448500834
DRV00028,2024-04-01,0,0.4693993127405899
DRV00028,2024-05-01,0,0.465388123670843
DRV00028,2024-06-01,0,0.4799538540225044
DRV00028,2024-07-01,0,0.4617207597839989
DRV00028,2024-08-01,1,0.45719067513315303
DRV00028,2024-09-01,1,0.45099167048038996
DRV00029,2024-04-01,0,0.45498508265045495
DRV00029,2024-05-01,0,0.4898007381995485
DRV00029,2024-06-01,0,0.47329080996524003
DRV00029,2024-07-01,0,0.46992258409412996
DRV00029,2024-08-01,0,0.4782228935162148
DRV00029,2024-09-01,0,0.47263655877682886
DRV00030,2024-04-01,0,0.4489934116805765
DRV00030,2024-05-01,0,0.45250208895068394
DRV00030,2024-06-01,0,0.46386569667074923
DRV00030,2024-07-01,0,0.4745080245177227
DRV00030,2024-08-01,0,0.45535741305474703
DRV00030,2024-09-01,0,0.4684648163633265
DRV00032,2024-04-01,0,0.47233177081328565
DRV00032,2024-05-01,0,0.4637279658999555
DRV00032,2024-06-01,0,0.47168272445153664
DRV00032,2024-07-01,0,0.4583853314623086
DRV00032,2024-08-01,0,0.46353404282953853
DRV00032,2024-09-01,0,0.4553206965477079
DRV00033,2024-04-01,0,0.4807417280676711
DRV00033,2024-05-01,0,0.49065788291831225
DRV00033,2024-06-01,0,0.4884396625486908
DRV00033,2024-07-01,0,0.49264577520193964
DRV00033,2024-08-01,0,0.48763916082845443
DRV00033,2024-09-01,0,0.47196163780712236
DRV00034,2024-04-01,0,0.4525031204951856
DRV00034,2024-05-01,0,0.45650497133125123
DRV00034,2024-06-01,0,0.4506555514944676
DRV00034,2024-07-01,0,0.4533976114706454
DRV00034,2024-08-01,0,0.45359793050811353
DRV00034,2024-09-01,0,0.44428327140679774
DRV00035,2024-04-01,0,0.4541990610077281
DRV00035,2024-05-01,0,0.4374298560954541
DRV00035,2024-06-01,0,0.4513709195902829
DRV00035,2024-07-01,0,0.4454535766171257
DRV00035,2024-08-01,0,0.47653864146569874
DRV00035,2024-09-01,0,0.4548496511829226
DRV00036,2024-04-01,0,0.4602201627228742
DRV00036,2024-05-01,0,0.4537812176341807
DRV00036,2024-06-01,0,0.4698760272618206
DRV00036,2024-07-01,1,0.48061441606405486
DRV00036,2024-08-01,1,0.46240662760918055
DRV00036,2024-09-01,1,0.8123333429618012
DRV00037,2024-04-01,0,0.4818005981728096
DRV00037,2024-05-01,0,0.5148513812762154
DRV00037,2024-06-01,0,0.48826674415673654
DRV00037,2024-07-01,0,0.4739032389507605
