feature,coef,abs_coef
driver_incidents_last_90d,1.0636127203683958,1.0636127203683958
driver_incidents_last_30d,-0.5856329730953449,0.5856329730953449
driver_incidents_last_180d,-0.5571914889021151,0.5571914889021151
truck_incidents_last_365d,-0.4215186153262352,0.4215186153262352
truck_incidents_last_30d,-0.3082570682256704,0.3082570682256704
truck_incidents_last_90d,0.30794046025980576,0.30794046025980576
truck_incidents_last_180d,0.30194948739181127,0.30194948739181127
typical_distance_miles,0.2431717568573909,0.2431717568573909
base_rate_per_mile,0.1409308584342539,0.1409308584342539
driver_incidents_last_365d,0.13302712993922006,0.13302712993922006
typical_transit_days,-0.11589260848527744,0.11589260848527744
dispatch_month,-0.1073425794068403,0.1073425794068403
pieces,0.10354989364655631,0.10354989364655631
truck_age,-0.0772199586687699,0.0772199586687699
years_experience,0.05936539302721138,0.05936539302721138
dispatch_dow,0.04862308981813835,0.04862308981813835
is_weekend,-0.04482882127402717,0.04482882127402717
weight_lbs,0.029533971507833982,0.029533971507833982
