feature,coef,abs_coef
base_rate_per_mile,0.5340168106516924,0.5340168106516924
is_weekend,-0.2295961075571425,0.2295961075571425
typical_transit_days,-0.1618597195138621,0.1618597195138621
dispatch_month,-0.04171506018286674,0.04171506018286674
dispatch_dow,0.03735482380779076,0.03735482380779076
years_experience,0.02261043020310229,0.02261043020310229
pieces,0.013316553220846817,0.013316553220846817
truck_age,-0.0032797504442341526,0.0032797504442341526
typical_distance_miles,0.00033534719643931084,0.00033534719643931084
weight_lbs,-9.253026220042347e-06,9.253026220042347e-06
