feature,coef,abs_coef
typical_distance_miles,0.2381976195582685,0.2381976195582685
base_rate_per_mile,0.14838704453971321,0.14838704453971321
typical_transit_days,-0.1195612904584324,0.1195612904584324
dispatch_month,-0.11901838746925032,0.11901838746925032
pieces,0.09480270790110655,0.09480270790110655
truck_age,-0.07933108445163016,0.07933108445163016
years_experience,0.06605582302235184,0.06605582302235184
truck_incident_type_nunique_before_trip,-0.03402544793604319,0.03402544793604319
driver_incident_type_nunique_before_trip,0.029408274382451263,0.029408274382451263
is_weekend,-0.02927639092592635,0.02927639092592635
dispatch_dow,0.026126944445820092,0.026126944445820092
weight_lbs,0.025041939660926518,0.025041939660926518
