feature,coef,abs_coef
typical_distance_miles,0.22240403296678496,0.22240403296678496
base_rate_per_mile,0.14737175870686878,0.14737175870686878
dispatch_month,-0.11929504003540976,0.11929504003540976
typical_transit_days,-0.10661541244609184,0.10661541244609184
pieces,0.09735520991556713,0.09735520991556713
truck_age,-0.08260504560663791,0.08260504560663791
years_experience,0.06845697347990928,0.06845697347990928
truck_incident_rate_before_trip,-0.0660872947052801,0.0660872947052801
is_weekend,-0.027986383334970208,0.027986383334970208
dispatch_dow,0.02705925606098612,0.02705925606098612
weight_lbs,0.025461057064119056,0.025461057064119056
driver_incident_rate_before_trip,-0.012758688734337586,0.012758688734337586
