feature,coef,abs_coef
typical_distance_miles,0.2476867679329294,0.2476867679329294
driver_trips_before_trip,-0.20166505710796334,0.20166505710796334
truck_trips_before_trip,0.19017455738783212,0.19017455738783212
base_rate_per_mile,0.14625652987350346,0.14625652987350346
typical_transit_days,-0.1296316266672882,0.1296316266672882
dispatch_month,-0.11919087571001635,0.11919087571001635
pieces,0.09304667036096916,0.09304667036096916
truck_age,-0.07621250323758871,0.07621250323758871
years_experience,0.06672312221612177,0.06672312221612177
driver_incidents_before_trip,0.036153629745306934,0.036153629745306934
is_weekend,-0.03180072347838316,0.03180072347838316
dispatch_dow,0.029282512235333128,0.029282512235333128
weight_lbs,0.025014674344178072,0.025014674344178072
truck_incidents_before_trip,-0.013200451088703534,0.013200451088703534
