feature,coef,abs_coef
typical_distance_miles,0.27623811076999716,0.27623811076999716
typical_transit_days,-0.1642902715315114,0.1642902715315114
base_rate_per_mile,0.1402754358059949,0.1402754358059949
dispatch_month,-0.11395716522144642,0.11395716522144642
years_experience,0.10162631293555102,0.10162631293555102
pieces,0.0888293644325249,0.0888293644325249
dispatch_dow,0.04078128725801757,0.04078128725801757
truck_age,-0.031129936391750764,0.031129936391750764
is_weekend,-0.027308344760106924,0.027308344760106924
weight_lbs,0.01218464250875017,0.01218464250875017
