feature,coef,abs_coef
typical_distance_miles,0.23552423035988998,0.23552423035988998
base_rate_per_mile,0.14778452784682106,0.14778452784682106
dispatch_month,-0.12120624731770668,0.12120624731770668
typical_transit_days,-0.11788694826869807,0.11788694826869807
pieces,0.0932680583062008,0.0932680583062008
truck_age,-0.08041793819427834,0.08041793819427834
years_experience,0.06530344931347244,0.06530344931347244
driver_incidents_before_trip,0.034316397576577194,0.034316397576577194
is_weekend,-0.032395595733704256,0.032395595733704256
dispatch_dow,0.02860682079974693,0.02860682079974693
weight_lbs,0.02587816403261055,0.02587816403261055
truck_incidents_before_trip,-0.01640616654575619,0.01640616654575619
