feature,coef,abs_coef
typical_distance_miles,0.22657141356767818,0.22657141356767818
base_rate_per_mile,0.14506132090326587,0.14506132090326587
dispatch_month,-0.11981719417139582,0.11981719417139582
typical_transit_days,-0.10797136344669409,0.10797136344669409
pieces,0.09645216002949802,0.09645216002949802
truck_age,-0.07625150636600604,0.07625150636600604
years_experience,0.0654326189924932,0.0654326189924932
dispatch_dow,0.03133256469598928,0.03133256469598928
truck_claim_amount_sum_before_trip,-0.03066789496397732,0.03066789496397732
truck_damage_cost_sum_before_trip,-0.030667894963977236,0.030667894963977236
is_weekend,-0.030315643988225505,0.030315643988225505
weight_lbs,0.025610480011282553,0.025610480011282553
driver_claim_amount_sum_before_trip,0.01148907706677064,0.01148907706677064
driver_damage_cost_sum_before_trip,0.01148907706677064,0.01148907706677064
