feature,coef,abs_coef
typical_distance_miles,0.23366442670580015,0.23366442670580015
base_rate_per_mile,0.1472168695684974,0.1472168695684974
dispatch_month,-0.11760493287118706,0.11760493287118706
typical_transit_days,-0.11597088736321191,0.11597088736321191
pieces,0.09484209418560496,0.09484209418560496
truck_age,-0.08260490310340302,0.08260490310340302
years_experience,0.06601294217960513,0.06601294217960513
truck_incident_rate_smoothed_before_trip,-0.05511010941263603,0.05511010941263603
driver_incident_rate_smoothed_before_trip,0.05006321955823693,0.05006321955823693
is_weekend,-0.029330150630881013,0.029330150630881013
dispatch_dow,0.027640070608157232,0.027640070608157232
weight_lbs,0.025538750357256845,0.025538750357256845
